name	length	Morula_SRR17972742_Rep1_R1	Morula_SRR17972743_Rep1_R1	Morula_SRR17972744_Rep1_R1	Morula_SRR17972745_Rep1_R1	Morula_SRR17972746_Rep1_R1	Morula_SRR17972747_Rep1_R1	Morula_SRR17972748_Rep1_R1	Morula_SRR17972749_Rep1_R1	Morula_SRR17972750_Rep1_R1	Morula_SRR17972751_Rep1_R1	Morula_SRR17972752_Rep1_R1	Morula_SRR17972753_Rep1_R1	Morula_SRR17972754_Rep1_R1	Morula_SRR17972755_Rep1_R1	Morula_SRR17972756_Rep1_R1	Morula_SRR17972757_Rep1_R1	Morula_SRR17972786_Rep1_R1	Morula_SRR17972787_Rep1_R1	Morula_SRR17972788_Rep1_R1	Morula_SRR17972789_Rep1_R1	Morula_SRR17972817_Rep1_R1	Morula_SRR17972818_Rep1_R1	Morula_SRR17972819_Rep1_R1
LOC112449546	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449547	2872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449548	2377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5
LOC112449549	5983	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	64	0	0	0	3	5	3
LOC112449550	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449551	1943	0	0	0	5	0	5	0	0	21	0	0	79	38	0	0	0	0	10	7	0	47	10	8
LOC112449552	6717	0	0	0	0	65	0	0	0	2	0	0	0	0	0	0	0	0	33	0	0	4	3	5
LOC112449553	1017	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	4	2
LOC112449555	1032	15	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	50	0	1	1	0
LOC112449556	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449559	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	6	7	4
LOC112449560	1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC112449561	2634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
LOC112449562	2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449563	1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC112449564	2183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC112449565	3381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC112449566	1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449567	523	47	52	18	24	0	0	34	51	26	0	12	0	0	0	0	0	30	47	23	0	12	41	21
LOC112449568	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449569	971	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0
LOC112449570	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449571	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449572	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449573	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC112449574	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC112449575	661	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	7	2
LOC112449576	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449577	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449578	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4
LOC112449580	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1
LOC112449582	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC112449583	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449584	755	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449588	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449589	2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449590	12102	66	40	222	53	239	0	53	256	16	0	0	0	22	70	0	0	79	214	57	0	81	150	133
LOC112449591	1964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
LOC112449592	1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449593	3297	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449594	1116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	0
LOC112449595	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449596	646	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	1	0
LOC112449597	1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449598	1565	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
LOC112449599	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449600	5281	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
LOC112449601	680	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
LOC112449602	3073	0	0	0	0	0	0	102	77	3	0	1	189	45	0	28	0	0	0	152	0	15	12	14
LOC112449603	1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449604	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
LOC112449605	686	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0
LOC112449606	2223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449607	1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449608	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449609	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC112449610	1077	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449611	541	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449612	2216	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
LOC112449613	2813	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	11	11	4
LOC112449615	7633	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	36	15
LOC112449616	2186	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC112449617	1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449618	2109	0	110	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	29	41	25
LOC112449619	1554	0	0	0	0	0	0	1	0	40	0	28	0	0	0	0	0	0	0	0	0	1	11	0
LOC112449620	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449621	373	0	0	0	0	0	0	0	0	0	0	2	0	31	0	0	0	0	0	0	0	0	0	0
LOC112449623	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449624	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449625	135	3	1	2	3	3	7	3	25	15	2	13	11	8	17	16	22	5	4	7	16	2	4	8
LOC112449626	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449627	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449628	67	0	6	0	1	0	0	0	0	5	0	0	0	2	9	0	0	0	0	0	0	0	1	0
LOC112449629	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC112449630	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449632	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449635	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC112449636	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449637	107	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449638	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449639	107	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC112449640	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449641	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449642	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449643	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449644	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449645	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449646	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449647	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449648	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC112449649	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449650	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449651	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1
LOC112449652	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449653	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449654	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449655	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC112449656	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449658	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449659	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449660	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449661	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449662	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449664	132	0	0	7	13	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	13	14	9
LOC112449665	132	0	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	2	19	4
LOC112449666	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449669	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112449670	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC112449671	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC281376	2096	28	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	71	0	21	0	43	92	60
LOC282685	1439	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	24	34	23
LOC404051	3589	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC404061	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC404073	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1
LOC404103	3148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
LOC404105	559	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC407134	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC407145	4033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC407148	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC407163	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC407171	1585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC503858	988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	29	11
LOC504200	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504233	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504295	2689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504337	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504344	1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504369	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504490	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504501	1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504548	1086	15	0	32	9	0	0	0	0	30	0	1	0	10	0	0	0	0	0	51	0	15	37	35
LOC504551	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504567	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC504570	1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504599	414	2	0	57	13	47	0	35	0	29	0	9	0	22	0	13	6	5	13	35	0	15	9	7
LOC504623	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504766	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504773	877	0	0	0	9	146	7	50	0	23	0	0	24	32	36	0	4	0	2	13	0	20	11	11
LOC504812	1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504858	542	8	2	5	1	7	4	9	2	4	0	2	1	3	0	5	1	3	3	1	8	7	5	19
LOC504861	2526	9880	2673	6490	1203	4108	850	1988	1055	1595	846	2074	2716	473	798	161	440	28787	2748	20264	2745	1386	2146	1699
LOC504888	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC504893	868	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0
LOC505033	810	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0
LOC505052	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
LOC505072	1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
LOC505099	4373	0	0	75	0	7	0	0	0	0	5	0	0	0	171	0	0	0	1	0	0	42	80	50
LOC505120	2619	1043	139	134	232	731	49	0	0	885	242	673	1	702	4	445	3	774	190	842	3682	157	359	157
LOC505183	488	249	727	503	1057	1965	1540	1318	1824	553	945	180	2222	162	2050	204	612	641	295	514	466	9	8	5
LOC505306	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC505326	920	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	145	0	35	104	11
LOC505362	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC505468	1913	91	0	135	0	0	0	0	0	0	7	0	0	2	0	35	17	0	0	0	0	40	31	8
LOC505479	4395	0	0	0	0	0	0	0	0	0	1	0	90	0	40	0	0	0	0	0	0	13	7	16
LOC505546	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC505600	3032	1	0	0	0	1	0	3	2	6	0	11	1	0	1	444	0	0	0	0	0	10	7	23
LOC505646	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC505658	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
LOC505918	3983	6	105	33	35	287	17	382	39	10	14	133	84	0	0	0	5	271	150	19	0	106	113	157
LOC505972	2435	1683	2145	1403	1477	3895	1757	4649	1659	3988	1150	627	1712	783	1826	1478	242	2135	1381	1311	4403	205	322	375
LOC506121	2715	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	9
LOC506139	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506181	2140	86	226	415	34	274	1	1	0	48	4	760	0	168	0	549	24	511	113	25	0	249	250	271
LOC506202	939	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC506317	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC506323	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506408	5197	550	0	399	35	120	0	723	67	14	0	668	0	409	3	555	0	2	228	581	0	35	69	28
LOC506452	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506486	2951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
LOC506495	2264	1456	29	181	77	97	295	23	127	424	18	586	66	109	3	1040	1	1514	62	1559	763	2927	3175	2954
LOC506533	1672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506549	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506594	1018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC506634	2223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506652	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506670	2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506707	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4
LOC506828	6135	0	71	0	8	0	0	0	0	0	1	0	0	0	0	46	0	0	0	0	0	31	29	4
LOC506868	3622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506891	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506950	4900	27	61	12	96	10	13	38	15	6	37	6	59	8	27	3	32	225	19	105	11	399	527	411
LOC506960	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC506989	814	1713	1712	1797	1073	3875	1358	2357	2295	2102	822	707	3805	1158	1883	808	12	1805	2410	2006	2469	677	591	980
LOC506992	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC507055	3292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
LOC507184	2813	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
LOC507247	5246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507253	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0
LOC507302	3310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	19	22
LOC507377	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC507378	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507383	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507423	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507428	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
LOC507443	2362	59	56	0	0	0	0	63	0	0	0	21	0	0	0	0	0	1	22	17	0	3	4	4
LOC507527	950	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	151	0	19	5	3
LOC507550	3131	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507560	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507581	2661	0	0	0	1	0	0	0	16	129	1	0	6	60	0	0	0	1	0	13	0	6	14	1
LOC507662	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507696	9171	0	0	266	5	54	0	0	0	5	0	0	0	0	0	0	0	0	2	5	0	97	130	61
LOC507726	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507756	2944	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507767	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507787	1540	32	1	3	0	30	0	53	0	31	0	15	3	2	1	0	0	107	2	10	0	85	79	117
LOC507882	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC507971	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1
LOC508073	1023	1	0	0	0	3	0	4	0	7	0	47	0	6	0	2	0	1	0	1	0	0	1	1
LOC508086	934	2200	785	2211	263	2462	181	759	1	1287	6	3068	1654	1906	227	220	4	829	1496	2506	1	215	329	263
LOC508098	933	37	26	69	4	7	0	94	0	26	0	24	0	3	38	18	0	62	35	6	0	11	18	15
LOC508101	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508131	5523	5	3	3	26	1	20	0	0	138	0	65	75	113	15	42	1	37	6	46	9	518	734	653
LOC508153	4761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC508180	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC508315	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508392	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508420	948	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
LOC508441	2604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508455	1602	182	0	8	0	0	0	109	0	59	0	72	0	1	0	9	0	235	0	82	0	23	51	55
LOC508459	5143	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
LOC508468	1453	0	0	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC508589	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508595	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508604	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508626	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508646	992	196	169	0	176	164	362	0	745	43	1	17	313	27	340	2	1	10	467	231	779	55	85	28
LOC508666	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC508706	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508766	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508785	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508806	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508808	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC508820	1473	2	0	0	38	0	0	0	0	0	0	129	29	0	0	0	0	0	47	0	1	24	43	20
LOC508834	1648	0	0	38	0	0	0	0	0	3	0	10	0	39	0	0	0	0	0	0	0	1	15	7
LOC508858	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
LOC508879	3202	1	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	6	4
LOC508916	2117	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	3	0	4
LOC508933	1850	183	98	56	9	19	49	123	0	27	0	31	12	27	6	74	0	123	25	17	0	15	21	18
LOC508976	1246	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1
LOC508980	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC509005	1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC509006	4130	2389	539	1257	298	745	6	496	94	444	25	540	269	11	90	10	0	290	560	1486	2142	250	320	287
LOC509025	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC509034	7064	1919	11	1838	142	1470	12	263	166	1325	220	1040	1	536	136	6	0	267	731	2178	1	199	256	183
LOC509073	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
