name	length	Blastocyst_SRR17972766_Rep1_R1	Blastocyst_SRR17972767_Rep1_R1	Blastocyst_SRR17972768_Rep1_R1	Blastocyst_SRR17972769_Rep1_R1	Blastocyst_SRR17972770_Rep1_R1	Blastocyst_SRR17972771_Rep1_R1	Blastocyst_SRR17972772_Rep1_R1	Blastocyst_SRR17972773_Rep1_R1	Blastocyst_SRR17972774_Rep1_R1	Blastocyst_SRR17972775_Rep1_R1	Blastocyst_SRR17972776_Rep1_R1	Blastocyst_SRR17972777_Rep1_R1	Blastocyst_SRR17972778_Rep1_R1	Blastocyst_SRR17972779_Rep1_R1	Blastocyst_SRR17972780_Rep1_R1	Blastocyst_SRR17972781_Rep1_R1	Blastocyst_SRR17972782_Rep1_R1	Blastocyst_SRR17972783_Rep1_R1	Blastocyst_SRR17972784_Rep1_R1	Blastocyst_SRR17972785_Rep1_R1	Blastocyst_SRR17972814_Rep1_R1	Blastocyst_SRR17972815_Rep1_R1	Blastocyst_SRR17972816_Rep1_R1
LY6G6E	1108	1143	495	251	373	961	389	324	508	50	97	66	61	127	0	19	0	42	57	0	47	88	141	106
LY6G6F	1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LY6H	2413	0	40	15	19	8	49	40	51	136	19	82	27	0	0	0	42	0	15	0	8	6	1	8
LY6L	3347	0	49	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LY75	5823	1	0	26	0	0	23	23	0	1	40	0	0	0	0	0	0	0	3	0	0	9	7	5
LY86	4485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1
LY9	4682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
LY96	557	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LYAR	1753	8	52	351	151	91	105	23	115	16	121	49	70	67	14	31	6	19	40	0	55	327	370	327
LYG1	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
LYG2	2979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5
LYL1	4069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0
LYN	3258	670	725	867	760	378	857	954	512	482	445	199	776	126	1006	636	627	282	769	5	189	426	508	196
LYNX1	4385	0	41	44	33	63	27	20	21	89	76	66	88	0	0	0	0	0	57	0	81	13	2	4
LYPD1	10057	222	154	288	72	355	191	225	198	91	72	14	132	0	41	255	15	34	78	0	35	100	58	50
LYPD2	569	0	22	0	19	59	39	0	3	0	0	0	2	0	38	113	0	22	0	0	0	0	2	4
LYPD3	1609	395	341	569	361	486	579	411	367	312	665	195	113	23	281	87	204	249	138	1	75	119	62	56
LYPD4	1355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
LYPD5	1439	459	338	332	167	338	458	402	816	1	405	0	95	1	1	486	646	275	97	1	75	58	46	41
LYPD6	3761	0	4	0	16	0	0	0	0	21	25	0	0	68	0	0	0	0	0	0	0	5	18	1
LYPD6B	1275	0	81	1	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	4	5
LYPD8	1757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
LYPLA1	2747	677	881	753	639	367	1171	519	568	46	480	256	314	551	220	541	345	228	79	29	60	962	771	444
LYPLA2	1817	1057	1787	887	1316	658	1142	734	684	144	871	183	253	83	462	195	91	121	215	3	32	227	179	105
LYPLAL1	2565	0	0	61	60	0	60	0	0	0	1	46	5	2	124	0	3	18	91	5	79	120	76	106
LYRM1	3323	8	14	87	153	50	126	81	152	18	99	60	173	29	82	15	74	107	56	2	14	60	47	55
LYRM2	936	5	93	161	150	9	262	632	501	157	379	0	320	8	1	1	2	71	0	0	0	152	158	70
LYRM4	965	1470	1789	1246	1956	1650	1854	1722	1752	857	1424	813	892	733	650	822	222	625	434	2	201	224	206	128
LYRM7	4043	32	14	156	73	176	60	187	39	181	59	78	143	269	84	66	21	53	81	105	28	393	395	216
LYRM9	4484	690	335	274	400	738	365	307	546	301	209	116	45	94	652	654	201	188	283	495	51	111	85	69
LYSB	1269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2
LYSMD1	2419	209	126	159	37	5	516	10	1	6	127	40	0	1	60	4	6	11	56	88	20	58	67	50
LYSMD2	2502	2	5	0	152	13	109	9	25	0	32	35	2	0	0	0	5	0	76	0	10	59	58	30
LYSMD3	4436	13	0	26	43	16	27	96	37	41	7	67	9	73	31	35	35	14	5	0	12	67	90	42
LYSMD4	4970	30	0	87	32	0	0	0	49	4	12	0	27	20	1	98	4	0	3	0	2	66	79	55
LYST	13748	0	3	1	24	0	5	0	20	0	14	0	1	2	26	4	3	6	1	0	1	81	117	42
LYVE1	1702	0	0	0	62	46	70	9	113	0	5	0	0	0	0	0	0	0	68	0	0	3	3	6
LYZ1	2167	0	0	0	18	0	1	0	0	0	5	0	0	46	0	1	0	1	0	1	0	13	4	5
LYZ	1596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZ2	964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
LYZ3	949	0	0	137	22	1	7	31	0	0	1	0	0	0	0	0	0	0	0	10	0	78	43	16
LYZL1	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
LYZL4	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZL6	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
LZIC	2459	419	293	700	342	407	533	230	233	128	335	413	417	102	121	227	362	146	178	0	100	483	332	268
LZTFL1	4161	0	10	0	55	0	98	0	1	3	0	18	3	0	2	0	59	7	29	0	1	112	76	55
LZTR1	3900	60	283	101	327	347	322	87	520	73	396	12	13	0	180	34	29	58	23	6	0	129	144	73
LZTS1	5675	11	44	66	28	195	32	19	286	30	30	53	37	21	22	36	184	9	42	31	36	34	28	52
LZTS2	3272	0	24	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2
LZTS3	6063	70	46	147	144	345	143	5	160	272	186	80	61	2	161	277	69	51	22	1	55	265	206	153
M1AP	2171	0	0	1	12	0	0	0	0	102	23	145	0	0	0	0	0	2	0	0	0	6	11	4
M6PR	2518	684	687	803	940	605	1080	619	444	574	948	408	801	441	446	159	171	613	336	45	218	314	327	232
MAATS1	3810	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0
MAB21L1	2433	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	1	0
MAB21L2	2721	0	0	0	0	6	0	0	49	6	0	0	0	4	15	0	0	0	1	0	0	3	17	5
MAB21L3	4396	438	267	423	314	171	182	326	155	118	217	179	293	41	65	73	155	188	85	307	25	403	578	222
MACC1	7101	0	40	58	59	9	0	0	10	2	0	13	166	1	3	0	18	50	0	0	0	108	116	48
MACF1	25320	591	160	660	539	229	130	78	309	27	240	205	51	105	255	157	205	70	176	10	119	537	713	313
MACO1	3179	44	79	15	6	7	86	35	59	0	37	8	5	13	11	0	0	53	39	0	0	69	63	79
MACROD1	1414	451	432	124	218	638	386	274	618	77	167	213	80	0	154	248	190	112	23	13	9	55	62	50
MACROD2	5399	0	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	0	19	0	0	2	6	18
MAD1L1	7303	91	268	98	87	9	35	125	34	74	150	0	46	3	13	0	42	10	14	0	3	61	31	36
MAD2L1	1183	2083	2005	8474	4336	2845	4900	8627	3510	2961	4106	1725	2308	1060	729	1563	1613	799	677	172	499	3273	3388	1724
MAD2L1BP	2814	246	230	221	137	209	31	3	23	192	17	250	454	265	247	6	93	37	83	1	88	187	126	96
MAD2L2	1097	1719	3643	2400	3052	3205	4933	2560	4022	1835	1481	1261	2349	1202	1754	1854	2116	1626	861	6	265	335	307	236
MADCAM1	1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MADD	6411	2	89	4	18	0	59	0	23	2	8	0	10	0	6	3	68	0	0	0	0	6	9	7
MAEA	3080	203	281	231	269	6	293	229	127	64	111	111	274	36	15	128	11	40	23	2	55	167	164	162
MAEL	2156	302	231	100	353	2	188	157	29	28	238	20	13	56	56	11	10	68	20	1	27	504	300	348
MAF1	1848	2933	1484	1813	2465	3286	3371	2309	1931	2502	2001	1067	282	1145	638	632	1150	428	435	5	161	404	271	214
MAF	3541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
MAFA	3106	0	0	0	10	0	6	0	6	0	15	0	0	0	13	0	0	0	0	0	0	0	2	0
MAFB	3338	3	12	0	0	0	7	0	9	0	1	53	0	0	5	1	9	58	0	0	1	7	6	3
MAFF	2215	20	19	29	23	0	15	0	7	30	1	0	0	0	97	0	0	0	33	19	12	7	5	6
MAFG	7024	89	120	243	326	190	193	81	33	78	218	35	73	19	206	134	3	8	86	0	31	211	214	260
MAFK	2738	24	21	28	70	125	38	30	20	0	7	0	2	2	66	0	1	72	17	0	11	53	51	32
MAG	2942	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA11	1467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
MAGEB1	1620	68	0	201	33	0	0	0	0	0	0	0	16	0	0	0	0	10	0	0	0	87	23	34
MAGEB16	1905	137	45	6	25	0	17	1	0	8	3	0	9	0	0	0	0	44	1	0	4	21	7	15
MAGEB4	1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
MAGED1	3100	597	533	262	467	8	128	932	278	40	220	309	544	0	109	99	46	108	128	2	62	218	166	147
MAGED2	2538	1	106	150	48	0	13	38	0	0	0	0	0	0	0	0	4	0	1	0	2	53	29	20
MAGED4B	2829	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
MAGEE2	2244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4
MAGEF1	1595	145	152	0	28	3	5	142	0	0	0	16	7	17	1	113	6	42	12	0	10	121	119	116
MAGEH1	1437	1	72	312	23	139	25	14	0	0	16	0	1	0	7	0	147	9	17	0	7	74	93	76
MAGEL2	4508	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0
MAGI1	9477	20	101	55	27	6	10	344	23	15	15	11	34	317	12	47	58	71	81	0	30	120	136	95
MAGI2	4261	0	65	36	35	0	11	9	31	6	0	0	44	0	46	61	4	2	0	0	0	7	11	13
MAGI3	7233	57	226	42	275	125	46	100	395	165	75	46	418	15	74	116	113	105	131	24	50	543	590	299
MAGOH	676	1110	577	1324	1107	503	1495	538	569	208	571	151	40	114	191	290	171	123	178	53	43	759	604	1130
MAGOHB	1192	128	86	389	140	134	170	165	120	133	223	201	141	24	12	279	14	168	262	0	26	454	448	300
MAGT1	3265	273	488	1056	573	347	396	219	95	187	312	362	134	304	233	448	168	185	173	7	152	769	760	397
MAIP1	3312	135	100	284	103	0	95	4	227	0	99	49	160	0	3	3	281	1	2	3	36	226	183	165
MAJIN	1883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	1	0	1
MAK16	2049	143	135	367	345	394	67	106	93	10	75	38	152	0	59	46	10	97	121	0	17	227	188	146
MAK	6229	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	12	8
MAL	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAL2	2983	90	105	105	163	0	128	744	89	258	319	17	107	179	19	110	45	13	115	0	27	301	236	149
MALL	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
MALRD1	7568	34	0	0	0	3	5	0	1	22	0	0	1	0	105	2	0	292	0	1	0	8	6	4
MALSU1	1640	542	449	959	361	188	506	35	309	16	164	147	145	0	0	56	14	33	120	0	135	207	156	143
MALT1	4822	249	67	152	48	0	10	37	0	11	16	0	4	3	0	42	18	11	5	4	6	224	183	97
MAMDC2	3372	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	4
MAMDC4	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
MAML1	5802	34	3	17	10	0	101	0	13	121	0	0	0	1	10	133	4	270	56	1	0	46	34	23
MAML2	7676	0	45	27	46	0	9	0	41	66	0	1	0	0	0	0	3	0	26	0	1	38	55	29
MAML3	7741	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	17	14
MAMLD1	5130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
MAMSTR	2420	31	0	5	0	11	0	0	43	73	0	5	10	0	0	0	4	0	0	0	0	2	1	8
MAN1A1	5024	6	16	0	25	58	19	0	0	36	34	0	14	0	0	48	24	0	25	0	2	72	50	60
MAN1A2	2896	3	19	133	46	104	49	12	42	12	14	0	37	0	0	42	51	121	14	0	34	108	115	98
MAN1B1	5467	996	995	166	681	1411	859	247	304	240	442	3	556	117	105	283	258	216	109	1	66	232	172	116
MAN1C1	2810	117	23	0	99	0	3	0	127	0	0	0	0	0	0	0	0	1	0	0	24	17	10	5
MAN2A1	6210	175	80	244	82	34	114	255	148	78	87	37	17	10	126	0	92	15	97	142	49	382	327	140
MAN2A2	12438	193	314	106	436	289	215	78	229	12	171	4	109	11	2	113	1	93	10	0	0	173	235	121
MAN2B1	3195	1817	960	1151	1143	656	711	932	1195	354	236	518	1212	245	485	212	104	512	321	1	377	93	69	89
MAN2C1	3569	14	13	0	95	1	29	0	7	0	9	0	0	0	44	0	7	0	25	0	15	47	57	24
MANBA	3915	247	436	629	510	86	589	166	15	380	41	65	188	219	71	93	279	65	42	1	23	608	505	305
MANBAL	3610	1867	1445	1283	1316	2538	2815	2122	2394	1782	1492	801	1542	1578	460	466	1276	711	274	2	85	152	137	109
MANEA	1682	247	25	315	263	19	9	1	0	13	60	75	14	0	0	15	13	1	52	0	6	74	76	58
MANEAL	3162	3	0	0	2	0	1	0	0	50	5	159	0	23	0	49	0	0	0	0	0	11	5	4
MANF	819	4631	4264	2732	3249	3612	3938	3843	3842	1949	2117	652	1695	1186	1000	468	1368	655	855	126	337	843	647	501
MANSC1	1873	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	3	2
MANSC4	4087	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	8
MAOA	2065	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
MAOB	2465	58	3	0	71	7	13	63	12	35	0	8	10	0	4	0	0	14	0	0	1	31	26	18
MAP10	2790	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	5
MAP1A	10904	2	0	5	7	0	2	24	7	0	3	18	8	78	122	0	0	16	7	0	0	20	6	13
MAP1B	12002	114	112	45	124	101	205	88	85	20	91	46	71	92	182	206	81	172	174	0	45	331	212	277
MAP1LC3A	1342	1196	1123	1211	1194	1484	1557	1803	1744	862	1412	542	777	319	1047	284	536	391	478	49	204	82	83	66
MAP1LC3B	2225	999	735	1838	1130	576	1470	1211	982	208	1330	379	743	302	207	215	402	236	250	0	132	693	603	528
MAP1LC3C	1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP1S	3320	157	229	136	164	250	31	10	152	0	117	20	25	1	147	34	1	16	3	1	0	8	3	3
MAP2	10803	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	12	12
MAP2K1	2376	51	103	88	88	69	124	23	29	18	14	1	31	2	162	232	122	217	124	1	65	526	345	316
MAP2K2	3091	1429	1059	1281	1331	812	1438	1385	1029	693	512	67	581	56	238	236	180	90	173	12	43	240	249	143
MAP2K3	2137	1504	1272	1825	1443	1986	1458	1736	1454	1588	1492	123	593	34	251	330	504	7	78	2	148	87	77	53
MAP2K4	3926	263	134	228	248	197	219	295	217	76	187	168	27	102	242	149	147	90	137	110	48	726	680	401
MAP2K5	2343	16	332	44	116	179	15	59	29	75	44	100	3	4	1	90	407	62	43	0	79	81	94	33
MAP2K6	2910	0	0	0	0	0	0	24	0	0	14	0	0	0	0	0	0	0	0	0	0	6	7	4
MAP2K7	3528	51	27	54	44	50	84	34	33	35	80	26	48	53	262	147	127	80	18	0	3	29	21	43
MAP3K10	3534	0	11	0	0	0	0	0	2	0	18	118	1	0	0	248	158	0	16	0	0	2	16	3
MAP3K11	3580	232	106	136	148	173	96	40	133	13	103	49	135	26	61	18	25	20	2	103	129	79	46	42
MAP3K12	4241	193	171	70	71	136	195	26	21	0	55	111	153	129	70	193	386	236	50	1	5	168	183	79
MAP3K13	9097	0	3	0	1	293	16	0	40	9	10	8	0	1	148	343	0	19	4	0	0	33	36	26
MAP3K14	4821	363	9	4	147	8	215	3	60	38	3	143	0	0	2	0	0	10	21	0	1	28	17	16
MAP3K15	4774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	8
MAP3K1	7124	111	56	114	89	263	118	36	190	47	141	68	132	235	6	295	56	245	326	8	60	283	264	85
MAP3K19	7359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	5	2	3	3
MAP3K20	10209	63	11	394	135	25	75	85	103	1	31	369	3	5	19	2	23	8	29	0	9	250	297	155
MAP3K2	11108	28	106	9	61	117	65	45	39	23	175	1	23	51	36	78	46	102	47	0	50	188	168	107
MAP3K21	6101	1	3	1	9	9	1	0	6	0	37	0	0	0	31	0	155	2	4	0	0	30	27	17
MAP3K3	4846	554	1183	1562	1217	1310	1401	821	1428	418	588	404	427	59	644	256	724	174	358	0	91	293	200	209
MAP3K4	5355	537	108	310	422	398	239	19	221	36	242	0	80	239	158	96	20	31	33	1	22	80	88	58
MAP3K5	5525	3	1	1	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	4	37	34	24
MAP3K6	5827	0	44	0	144	7	5	46	0	0	0	37	0	7	65	0	1	50	1	0	0	28	40	26
MAP3K7	3843	15	39	42	95	50	96	87	33	105	44	120	212	32	22	14	4	18	45	3	8	301	319	126
MAP3K7CL	2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K8	7132	9	107	33	14	119	33	507	23	9	79	80	12	0	0	2	0	50	50	0	18	28	41	27
MAP3K9	11449	158	14	89	115	5	5	8	67	35	13	0	1	4	36	0	0	8	16	0	12	123	149	101
MAP4	9530	996	620	1337	945	1328	677	237	757	233	336	590	353	430	367	882	572	278	361	354	175	771	721	572
MAP4K1	2678	197	384	725	700	592	696	377	640	171	350	206	424	94	1	74	25	68	83	0	24	100	111	69
MAP4K2	3166	160	178	98	331	255	106	397	72	52	3	308	0	38	3	329	154	6	28	1	0	38	37	33
MAP4K3	4615	0	0	147	64	0	25	4	6	0	12	2	44	1	30	111	55	33	7	0	15	265	313	141
MAP4K4	7592	11	41	9	26	96	52	26	52	47	87	44	0	126	8	44	21	172	2	0	44	99	109	64
MAP4K5	4476	0	22	13	65	5	28	0	50	36	47	12	1	0	26	17	26	11	31	159	61	196	162	121
MAP6	4910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5
MAP6D1	6844	0	0	0	0	28	0	0	26	0	0	0	0	0	0	33	3	0	2	0	0	15	8	6
MAP7	5335	12	22	60	59	18	38	21	14	9	44	8	15	179	46	193	138	30	62	519	13	257	266	144
MAP7D1	3655	0	42	0	0	1	63	0	105	0	0	81	0	0	0	4	0	51	0	0	0	6	6	14
MAP7D2	4452	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	9
MAP9	4084	0	3	8	3	23	22	5	9	0	0	0	20	0	1	0	17	0	2	0	0	48	36	19
MAPK10	6913	0	0	0	0	197	0	0	0	0	6	45	46	1	0	0	0	0	45	0	0	7	9	4
MAPK1	1248	308	392	49	196	60	278	307	233	80	196	92	142	22	165	430	145	72	178	2	5	22	28	19
MAPK11	3076	0	0	0	26	0	30	0	0	0	0	0	0	0	0	196	0	0	0	0	0	4	6	3
MAPK12	4010	193	151	22	135	149	138	146	116	1	0	49	297	250	0	0	0	0	0	11	1	11	8	8
MAPK13	1443	925	949	592	738	523	769	670	616	313	135	276	1	4	0	0	140	38	35	260	34	137	125	60
MAPK14	5230	404	841	762	486	197	708	292	395	74	316	115	491	198	51	388	117	110	67	245	141	444	402	278
MAPK15	6569	0	0	22	21	30	0	0	8	13	29	0	22	0	0	0	0	0	16	1	0	7	4	4
MAPK1IP1L	5245	472	591	723	613	374	649	476	364	155	483	162	389	126	218	200	87	203	178	35	199	1383	1282	671
MAPK3	2201	11	2	21	33	43	35	0	13	77	13	4	74	2	21	171	3	14	0	0	4	22	13	26
MAPK4	6315	820	1132	908	1272	1019	1510	189	834	423	842	140	441	92	170	382	115	10	147	1	237	207	287	88
MAPK6	4344	620	154	296	470	418	789	1287	270	122	78	435	358	717	131	74	106	203	90	1	63	1407	1359	681
MAPK7	3836	167	219	107	232	188	185	105	162	271	183	66	262	270	183	8	82	69	121	299	112	78	70	61
MAPK8	6482	15	256	35	54	19	127	16	202	26	79	31	88	50	41	75	318	115	132	0	53	361	379	250
MAPK8IP1	4393	89	26	3	41	7	20	8	5	18	26	0	0	46	108	49	0	0	20	0	6	18	19	19
MAPK8IP2	3874	72	21	19	59	3	32	18	48	7	14	72	0	23	30	112	10	25	18	0	33	84	48	58
MAPK8IP3	5855	6	2	46	10	0	53	1	4	13	162	6	0	18	23	54	0	0	9	0	0	6	3	5
MAPK9	4922	89	29	198	255	54	244	445	182	186	117	261	343	25	50	6	191	59	74	0	92	275	264	170
MAPKAP1	2926	316	59	69	303	11	295	51	114	18	246	147	51	155	136	178	188	53	77	3	3	117	82	87
MAPKAPK2	2731	362	812	655	414	196	363	69	234	191	138	8	469	417	195	107	13	223	155	2	57	193	197	138
MAPKAPK3	2832	425	322	393	450	153	672	343	439	168	193	62	551	50	131	0	13	51	55	2	16	96	54	50
MAPKAPK5	5362	542	80	443	339	257	179	329	192	235	58	12	125	47	27	662	108	17	27	1	39	385	393	214
MAPKBP1	7541	0	0	229	0	39	36	0	19	0	0	7	0	46	0	0	21	11	0	0	0	15	14	9
MAPRE1	2601	932	491	995	932	492	730	535	535	333	346	131	755	76	7	168	128	270	394	2	121	1051	998	532
MAPRE2	4858	10	0	12	76	164	5	0	0	0	53	0	202	107	5	1	0	4	54	1	3	12	11	44
MAPRE3	2113	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2
MAPT	6117	131	83	0	32	1	33	2	0	25	3	0	0	0	0	263	6	0	9	0	53	8	7	12
MARC1	2623	0	0	0	5	136	0	27	77	0	2	3	0	0	0	0	14	6	0	0	2	23	12	4
MARC2	2327	154	92	330	293	206	192	273	257	30	290	14	171	3	8	136	93	53	10	1	93	299	317	175
MARCH10	5689	0	20	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	4	3	4
MARCH11	1203	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	2
MARCH1	2331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5
MARCH2	1603	749	708	366	668	858	688	705	607	169	227	133	687	0	288	1	284	2	3	0	6	31	29	17
MARCH3	1844	133	362	170	178	52	460	222	310	4	296	32	569	17	275	0	146	103	55	0	2	69	79	52
MARCH4	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MARCH5	1815	28	103	322	108	186	130	0	265	32	38	0	33	278	6	214	4	89	58	0	7	139	154	65
MARCH6	6647	347	332	520	501	147	265	214	517	302	91	202	177	197	75	59	38	198	160	0	32	550	554	283
MARCH7	7551	134	215	81	135	157	79	419	59	279	147	123	46	405	35	240	140	189	211	2	69	668	631	370
MARCH8	7219	17	42	83	37	69	18	0	16	0	18	39	10	28	5	0	23	9	70	0	0	36	60	36
MARCH9	2954	187	227	83	147	83	241	0	198	94	73	1	0	0	0	0	203	32	57	35	18	74	101	39
MARCKS	990	19	62	47	55	80	34	24	36	33	37	12	26	103	0	63	15	0	13	0	14	47	33	39
MARCKSL1	1563	3040	3359	2755	2961	2954	3017	2337	2779	1160	1986	768	1334	847	1021	1491	2020	1624	1605	334	364	755	545	510
MARCO	1430	0	18	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	6	9	7
MARF1	7771	86	195	203	72	218	228	48	229	75	182	145	30	355	40	227	53	47	58	1	21	191	231	132
MARK1	5248	72	73	296	58	165	69	134	15	221	39	271	222	37	10	77	89	196	72	123	208	469	380	269
MARK2	5560	169	67	121	180	50	181	451	86	42	219	89	246	137	32	104	360	31	125	0	1	17	22	20
MARK3	2752	127	81	318	260	76	84	263	32	141	46	140	119	106	245	131	38	107	41	0	207	278	269	164
MARK4	1987	11	42	13	13	0	6	0	2	50	2	0	20	0	36	0	3	5	0	0	0	7	9	15
MARS2	2244	51	230	329	37	6	274	52	73	366	38	56	0	429	159	50	43	119	70	5	19	68	65	21
MARS	3228	532	414	689	597	89	156	325	112	214	118	15	57	260	130	120	108	76	16	0	57	276	273	252
MARVELD1	2843	695	801	458	511	809	391	338	500	679	231	500	529	210	513	4	304	335	379	0	12	48	33	35
MARVELD2	3870	130	71	30	161	82	257	84	107	15	184	48	114	43	12	195	143	26	166	0	237	175	284	132
MARVELD3	6677	79	1	20	23	0	36	148	14	144	6	46	0	0	4	16	57	0	2	0	1	47	33	28
MAS1	2628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MASP1	9484	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	1	2	8	6
MASP2	7253	12	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3
MAST1	5022	5	22	56	75	23	71	87	4	43	51	0	11	2	185	2	98	2	8	0	19	6	12	8
MAST2	6404	7	371	139	123	65	86	0	80	156	22	5	175	15	0	3	10	52	94	0	33	109	76	142
MAST3	7851	0	4	25	27	0	21	0	55	0	0	39	210	139	131	0	22	50	101	1	17	32	36	16
MAST4	13808	0	2	7	79	35	17	0	63	8	28	76	16	1	0	150	29	6	126	0	28	78	94	46
MASTL	3870	0	18	1	11	0	26	19	21	0	0	74	0	2	28	34	0	0	2	0	0	96	120	59
MAT1A	3389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MAT2A	2809	814	967	1264	1704	874	1025	1121	1606	470	594	340	449	942	958	1911	986	578	593	7	340	913	782	523
MAT2B	2422	149	192	613	371	41	203	267	527	11	272	73	4	551	325	225	3	38	167	0	9	221	238	169
MATK	2060	0	28	89	0	0	4	12	112	0	18	0	0	1	0	0	9	0	2	0	0	3	0	3
MATN1	4507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MATN2	3716	7	0	0	11	0	0	1	0	1	69	0	0	0	0	0	0	0	0	0	0	12	9	4
MATN3	2341	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	6	6
